task,split,env_id,episode_path,tcr@1,tcr@2,tcr@5,avg_tcr,ndtw,nsp,sr,cr,cspl,spl,gt_length,pred_length,num_gt,num_pred
orbit,seen,1_office,task_orbit/test_seen/1_office/episode_0426/traj_gt_pred_xyzk.npz,0.9963369963369964,1.0,1.0,0.9987789987789988,0.7765487078789692,0.0,1.0,0.0,1.0,1.0,229.53053623581138,227.96962941999675,273.0,273.0
orbit,seen,1_office,task_orbit/test_seen/1_office/episode_0430/traj_gt_pred_xyzk.npz,0.47474747474747475,0.898989898989899,1.0,0.7912457912457912,0.6109487778537723,0.9838679000953819,1.0,0.0,1.0,1.0,261.38334457965493,260.66138136141075,297.0,297.0
orbit,seen,1_office,task_orbit/test_seen/1_office/episode_0435/traj_gt_pred_xyzk.npz,1.0,1.0,1.0,1.0,0.8575084757373048,0.009193716727790735,1.0,0.0,1.0,1.0,242.8438685259145,240.42982937410034,292.0,292.0
orbit,seen,1_office,task_orbit/test_seen/1_office/episode_0440/traj_gt_pred_xyzk.npz,0.24012158054711247,0.4316109422492401,1.0,0.5572441742654509,0.409194662535502,0.007750433607648874,1.0,0.0,1.0,1.0,283.4340132102458,282.7693120861629,329.0,329.0
orbit,seen,1_office,task_orbit/test_seen/1_office/episode_0445/traj_gt_pred_xyzk.npz,0.9863481228668942,1.0,1.0,0.9954493742889646,0.7975362232890977,0.015572212077468468,1.0,0.0,1.0,1.0,238.03469958976115,234.75944408555364,293.0,293.0
orbit,seen,1_office,task_orbit/test_seen/1_office/episode_0450/traj_gt_pred_xyzk.npz,0.3585434173669468,0.7058823529411765,1.0,0.688141923436041,0.6263432771246581,0.9966216310322029,1.0,0.0,1.0,1.0,292.14048547173866,291.17771475315726,357.0,357.0
orbit,seen,1_office,task_orbit/test_seen/1_office/episode_0455/traj_gt_pred_xyzk.npz,0.46153846153846156,0.8990384615384616,1.0,0.7868589743589745,0.6581460849607224,0.9873502385111617,1.0,0.0,0.9944274476829476,0.9944274476829476,168.40063132761716,169.3443113622787,208.0,208.0
orbit,seen,1_office,task_orbit/test_seen/1_office/episode_0459/traj_gt_pred_xyzk.npz,0.9721254355400697,1.0,1.0,0.9907084785133566,0.6860498873149123,0.9779309438749727,1.0,0.0,1.0,1.0,246.31383077000575,245.1692761170713,287.0,287.0
orbit,seen,1_office,task_orbit/test_seen/1_office/episode_0463/traj_gt_pred_xyzk.npz,0.1846590909090909,0.2727272727272727,0.6676136363636364,0.375,0.22461419299516153,0.9826101209250948,1.0,0.0,1.0,1.0,310.8653126208491,291.9928520814831,352.0,352.0
orbit,seen,2_city,task_orbit/test_seen/2_city/episode_0392/traj_gt_pred_xyzk.npz,0.8242811501597445,1.0,1.0,0.9414270500532481,0.1493224416226735,0.8945330336317544,0.0,0.0,0.0,0.0,257.36816850228786,251.15593640667913,313.0,313.0
orbit,seen,2_city,task_orbit/test_seen/2_city/episode_0397/traj_gt_pred_xyzk.npz,0.4430379746835443,0.6075949367088608,1.0,0.6835443037974684,0.5029288218054797,0.0,1.0,0.0,1.0,1.0,172.69335066936372,169.11871455035276,237.0,237.0
orbit,seen,2_city,task_orbit/test_seen/2_city/episode_0402/traj_gt_pred_xyzk.npz,0.39925373134328357,0.7126865671641791,1.0,0.7039800995024876,0.5861226448604203,0.033345677907534337,1.0,0.0,1.0,1.0,208.9188639846925,207.46414837209875,268.0,268.0
orbit,seen,2_city,task_orbit/test_seen/2_city/episode_0407/traj_gt_pred_xyzk.npz,0.6774193548387096,1.0,1.0,0.8924731182795699,0.778255702389786,0.990566888099742,1.0,0.0,1.0,1.0,300.52754343753736,297.71535047936294,372.0,372.0
orbit,seen,2_city,task_orbit/test_seen/2_city/episode_0412/traj_gt_pred_xyzk.npz,0.6286764705882353,0.8566176470588235,1.0,0.8284313725490197,0.714420377808158,0.0,1.0,0.0,0.9904029494542274,0.9904029494542274,221.79208731970067,223.9412629394144,272.0,272.0
orbit,seen,2_city,task_orbit/test_seen/2_city/episode_0417/traj_gt_pred_xyzk.npz,0.7355371900826446,1.0,1.0,0.9118457300275482,0.8563396183870987,0.9996314476382598,1.0,0.0,1.0,1.0,294.70118022301205,294.0097526772387,363.0,363.0
orbit,seen,2_city,task_orbit/test_seen/2_city/episode_0431/traj_gt_pred_xyzk.npz,0.30223880597014924,0.7276119402985075,1.0,0.6766169154228856,0.375869091371985,0.9140350507892774,1.0,0.0,1.0,1.0,201.52261886645698,193.9652311307932,268.0,268.0
orbit,seen,2_city,task_orbit/test_seen/2_city/episode_0436/traj_gt_pred_xyzk.npz,0.31835205992509363,0.6779026217228464,1.0,0.66541822721598,0.6267319067680116,0.0,1.0,0.0,0.9900205522134237,0.9900205522134237,214.0112287047957,216.16847067096063,267.0,267.0
